bin,n_a,mean_mm_a,std_mm_a,median_q_a,sqrt_n_bound_a,n_b,mean_mm_b,std_mm_b,median_q_b,sqrt_n_bound_b,delta_mean_mm,delta_median_q
118.0,722,1439.6031855955678,1869.722367594462,0.0,69.58386131906373,727,1455.7620357634112,1873.378649573897,0.0,69.47976821172905,-16.15885016784341,0.0
119.0,719,3063.3355354659247,1393.0161007876818,13.0,51.950734352813015,717,3123.184449093445,1338.0489629666922,13.0,49.9703542140107,-59.84891362752023,0.0
120.0,734,3634.539509536785,5.258054851676466,15.0,0.19407834601349272,738,3629.3482384823847,133.9059531079976,15.0,4.929146250741005,5.191271054400204,0.0
121.0,710,3656.891901408451,8.65221022604201,14.0,0.32471166363541915,694,3656.6599423631123,8.612216263665363,14.0,0.32691525876775845,0.23195904533849898,0.0
122.0,708,3698.330508474576,19.676913396568416,14.0,0.7395036898943151,704,3697.645596590909,19.660406426798577,14.0,0.740979447086168,0.684911883667155,0.0
123.0,697,3766.031922525108,19.870304231795302,14.0,0.7526414415555226,706,3765.5733002832862,20.09483347065226,14.0,0.7562790342454028,0.4586222418215584,0.0
124.0,701,3814.4857346647645,12.57255272105797,14.0,0.47485876258011567,698,3814.3635386819483,12.611002947851759,14.0,0.4773335011039047,0.12219598281626531,0.0
125.0,719,1148.5841446453408,1759.7913662007393,0.0,65.62914364749525,720,1114.8753472222222,1744.4783442329656,0.0,65.01286938301982,33.70879742311854,0.0
126.0,711,2249.4068213783403,2279.6855505809017,0.0,85.49488769581512,702,2310.4423076923076,2279.404296855067,12.0,86.0305712286501,-61.03548631396734,-12.0
127.0,719,4476.924895688456,31.369214264553307,12.0,1.169874286587781,712,4476.202247191011,31.301713923059943,12.0,1.1730813252608194,0.7226484974444247,0.0
128.0,698,4376.129656160459,25.03423455466785,12.0,0.947559752134666,701,4375.6611982881595,25.188238740487055,12.0,0.9513466473556149,0.4684578722990409,0.0
129.0,712,4343.720505617977,8.67603401733826,12.0,0.32514812154005474,709,4343.430183356841,8.7968414558354,12.0,0.33037231550700735,0.29032226113668,0.0
130.0,709,4398.584273624823,19.65826608209376,11.0,0.7382816795096394,707,4398.543140028289,19.78228917273714,11.0,0.7439895560872428,0.041133596534564276,0.0
131.0,711,4468.268635724332,20.82333268021188,11.0,0.780935988515462,712,4468.492626404494,21.02104543832547,11.0,0.7877969845923418,-0.22399068016238743,0.0
132.0,716,4542.389664804469,22.211862373454352,10.0,0.8300962706648044,702,4542.212962962963,21.9911241022942,10.0,0.8300014925350472,0.1767018415066559,0.0
133.0,707,4620.989038189533,23.157702435182177,10.0,0.8709350371086391,711,4620.432489451477,23.57111682934512,10.0,0.8839859452003326,0.5565487380563354,0.0
134.0,714,4703.286064425771,24.85361092344799,10.0,0.9301230122058698,705,4702.474113475178,24.638604919383464,10.0,0.9279435452789011,0.8119509505932001,0.0
135.0,705,2060.881205673759,2361.7989116477156,0.0,88.95049303648125,709,2035.5440761636107,2357.9273629738677,0.0,88.55382089286849,25.33712951014809,0.0
136.0,665,1039.418045112782,2005.3310578071175,0.0,77.76340298764752,667,1087.9336581709144,2038.8891491361856,0.0,78.94610313434013,-48.51561305813243,0.0
137.0,692,4959.175578034682,268.66235936399573,9.0,10.21301046997741,683,4966.246339677891,192.3255416982229,9.0,7.359132332114552,-7.070761643209153,0.0
138.0,690,5071.791304347826,29.446815550184162,9.0,1.1210211093479556,681,5070.946402349486,29.0958840500769,9.0,1.114956699379495,0.8449019983399921,0.0
139.0,712,5175.560744382023,31.10143018644035,9.0,1.1655753748914752,714,5174.436274509804,31.320401214612836,9.0,1.1721365563724917,1.1244698722184694,0.0
140.0,706,5284.961402266289,32.572355587634675,8.0,1.2258767738926981,705,5284.137234042553,32.902223866759954,8.0,1.2391694400871662,0.8241682237357963,0.0
141.0,714,5401.481442577031,35.630996906525084,8.0,1.3334565457178,710,5400.487676056338,35.81634768041409,8.0,1.3441635763364976,0.9937665206925885,0.0
142.0,710,5531.05,39.3480764624854,7.0,1.476706995691216,704,5529.814985795455,39.43501621814,7.0,1.4862630954221634,1.235014204545223,0.0
143.0,700,5668.197142857143,40.62498674872841,7.0,1.5354801707489973,716,5668.273393854749,41.9569467256087,7.0,1.5680047183721686,-0.07625099760571175,0.0
144.0,716,5811.0,41.72452742465976,7.0,1.559318801284063,699,5811.476394849786,41.07111922688177,7.0,1.5534523988772855,-0.47639484978572,0.0
145.0,705,4701.462765957447,2414.9736179154065,6.0,90.95316833464257,703,4697.279516358463,2417.169816749693,6.0,91.16528627202793,4.183249598983821,0.0
146.0,709,1630.0253878702397,2073.737506617733,0.0,77.88084680786903,709,1666.0811001410436,2082.116588163216,0.0,78.19552982061867,-36.05571227080395,0.0
147.0,704,520.2212357954545,1737.3976450320904,0.0,65.4806375024832,699,460.65915593705296,1643.2108079262616,0.0,62.151940815953694,59.562079858401546,0.0
148.0,701,433.2047075606277,1367.6769781011183,0.0,51.65644653393491,707,402.73267326732673,1323.4305650399408,0.0,49.77272903043503,30.472034293300965,0.0
149.0,714,5443.377100840336,2618.5623442196975,4.0,97.99723278667126,697,5526.547704447633,2547.810857210221,4.0,96.505217736581,-83.17060360729647,0.0
150.0,702,6893.225427350428,64.59810615648098,4.0,2.4380984016739347,710,6882.218661971831,266.8698200766466,4.0,10.015445878828805,11.006765378596356,0.0
151.0,722,7121.685595567867,70.57034469869814,4.0,2.6263562782695566,708,7119.4300847457625,69.15750619883586,4.0,2.5990982420467996,2.2555108221040427,0.0
152.0,692,7346.444725433526,402.89052110290453,3.0,15.315599550377675,712,7316.41713483146,620.5346310688667,3.0,23.25551850527357,30.027590602066084,0.0
153.0,719,7533.083449235049,899.1820600298084,3.0,33.53383231465146,699,7443.968884120171,1213.8251489138447,3.0,45.91108362500185,89.11456511487722,0.0
154.0,692,7687.765173410405,1363.6045959077444,3.0,51.8364688223662,695,7733.755395683454,1228.347158125513,3.0,46.593863505476136,-45.99022227304886,0.0
155.0,715,7218.363986013986,2707.611959952805,2.0,101.25894608275097,707,7111.077793493635,2822.0598751087505,2.0,106.13448501335775,107.2861925203506,0.0
156.0,714,5613.781862745098,4086.4736776909394,2.0,152.9324337659095,710,5739.604577464789,4040.943231495953,2.0,151.6538971055009,-125.82271471969125,0.0
157.0,693,4207.975468975469,4481.674688594668,0.0,170.24474367227225,703,4040.2720483641538,4462.347384792181,0.0,168.30061916247286,167.70342061131532,0.0
158.0,727,2798.6801925722148,4294.100089207185,0.0,159.2593568544945,700,2652.866785714286,4227.795947394385,0.0,159.79566672474652,145.81340685792884,0.0
159.0,691,7629.069826338639,4140.481042283871,2.0,157.51132209097935,710,7741.69823943662,4061.2540619135702,2.0,152.41614898824764,-112.62841309798023,0.0
160.0,704,10132.7421875,68.54105213611001,3.0,2.5832380985416408,702,10117.12037037037,388.62681470897905,3.0,14.667773904924806,15.621817129629562,0.0
