bin,n_a,mean_mm_a,std_mm_a,median_q_a,sqrt_n_bound_a,n_b,mean_mm_b,std_mm_b,median_q_b,sqrt_n_bound_b,delta_mean_mm,delta_median_q
121.0,700,5569.11,20.83386940655078,13.0,0.7874462470990027,692,5568.682080924856,20.64418630220803,13.0,0.7847742100818834,0.4279190751440183,0.0
122.0,726,5499.078512396694,20.380946131920837,13.0,0.7564078560357057,711,5499.014767932489,19.71408197405781,13.0,0.7393358368958756,0.06374446420522872,0.0
123.0,688,5433.9167877906975,17.716355390642175,14.0,0.6754297171443164,706,5434.151558073654,18.022175398092255,14.0,0.6782735186622105,-0.23477028295656055,0.0
124.0,721,5373.43758668516,18.018940320644116,14.0,0.6710604048527032,694,5373.854827089337,17.198943570079248,14.0,0.652862969949567,-0.4172404041773916,0.0
125.0,685,5313.061678832117,16.721421310909278,14.0,0.6388926673355093,719,5313.236091794159,17.42485801279124,14.0,0.6498375497929548,-0.17441296204196988,0.0
126.0,714,2695.6477591036414,2637.7555286669767,3.0,98.71551966204372,701,2535.1776034236805,2636.664380834611,0.0,99.58543925014712,160.47015567996095,3.0
127.0,715,3910.2066433566433,2024.711967543512,2.0,75.7199343875563,711,4008.8357946554147,1951.0680531664336,2.0,73.17076868336156,-98.62915129877138,0.0
128.0,693,4036.669191919192,1876.5652863163166,2.0,71.28482059758433,705,4120.503191489362,1801.5714126682947,2.0,67.85110476889648,-83.83399957016945,0.0
129.0,726,309.10537190082647,1060.7897647111465,0.0,39.369600725899005,695,241.5841726618705,941.3937506342838,0.0,35.70910034008489,67.52119923895597,0.0
130.0,689,362.94412191582,1298.4367293738483,0.0,49.46649978664668,717,292.91771269177127,1175.1063939974779,0.0,43.885152466326076,70.02640922404873,0.0
131.0,714,651.0553221288516,1683.5523578554485,0.0,63.00536349096279,703,661.4000711237553,1695.105858703679,0.0,63.93212830942579,-10.344748994903739,0.0
132.0,707,2903.942362093352,2270.5483163364647,15.0,85.39275809767526,719,2829.2771210013907,2287.665466973466,15.0,85.31552571118237,74.66524109196143,0.0
133.0,695,4652.162230215828,10.270189650208357,15.0,0.38957049851233155,695,4651.880575539569,10.332587977271027,15.0,0.39193740196865157,0.2816546762587677,0.0
134.0,725,4616.760689655172,10.327031969676737,15.0,0.38353633879486954,711,4616.578762306611,10.06142853176226,15.0,0.3773330502372536,0.1819273485616577,0.0
135.0,699,4582.39878397711,9.56726873463167,15.0,0.3618673375910726,700,4582.5225,9.505153193492404,15.0,0.359261021765033,-0.12371602289022121,0.0
136.0,686,3410.3527696793003,1981.8951918471291,13.0,75.6691100447609,671,3547.622950819672,1896.7907746233775,14.0,73.2247956942558,-137.27018114037173,-1.0
137.0,674,2448.4558605341244,2378.614601789763,14.0,91.62081113161271,712,2411.5435393258426,2379.580885568681,13.5,89.17856401312805,36.91232120828181,0.5
138.0,678,4749.659292035398,4.417602172165058,15.0,0.16965698933078702,666,4749.636261261261,4.424270347308769,15.0,0.17143699367964724,0.02303077413671417,0.0
139.0,726,4723.1442837465565,9.177338941000084,14.0,0.34060299397006577,700,4723.4517857142855,8.89418283053433,14.0,0.3361685126390625,-0.30750196772896743,0.0
140.0,695,4695.708992805756,7.3003401183018966,14.0,0.2769176846835293,715,4696.06048951049,7.47402798348112,14.0,0.27951279865578604,-0.35149670473401784,0.0
141.0,720,4671.000347222222,7.264876101831341,14.0,0.27074594686347603,715,4671.043006993007,7.112515110523823,14.0,0.2659929837589567,-0.04265977078466676,0.0
142.0,695,4647.946762589928,6.302134743742106,14.0,0.239053596616075,712,4647.946629213483,6.2757314936785855,14.0,0.23519298130707153,0.00013337644486455247,0.0
