bin,n,mean_mm,std_mm,median_q,sqrt_n_bound
38.0,139,8732.688848920863,61.43537344445639,6.0,5.210880364634278
39.0,135,6517.990740740741,3721.2707137741922,4.0,320.2759889150408
40.0,146,2894.703767123288,4728.51903767534,0.0,391.33501999485134
41.0,131,10469.557251908396,82.27551372397353,6.0,7.188445010450657
42.0,143,10278.937062937062,70.00241110366649,6.0,5.8538956966672755
43.0,137,10127.764598540147,48.63817081588863,7.0,4.155439369389033
44.0,137,10033.41788321168,31.852184878209343,8.0,2.7213158065708165
45.0,143,9974.405594405594,17.301739211705392,8.0,1.4468441175015014
46.0,146,9946.77397260274,5.804971766774188,8.0,0.48042288173528097
47.0,157,9948.025477707006,6.5798951209256185,8.0,0.5251327997183235
48.0,160,9980.06875,17.8076274644304,8.0,1.4078165627842283
49.0,127,10042.8031496063,25.675760408232488,8.0,2.2783553132453633
50.0,142,6194.399647887324,4942.629278207163,6.0,414.77623512428715
51.0,133,4747.793233082707,3407.978317369172,10.0,295.50919749128445
52.0,135,7115.4,21.856686363810145,10.0,1.8811240508958986
53.0,150,7036.955,23.77001223271933,10.0,1.9408133716625557
54.0,134,6961.561567164179,20.635610430182805,11.0,1.7826452293232313
55.0,141,6893.689716312057,20.76307463961867,11.0,1.7485663195002383
56.0,132,6830.125,18.98051682868416,11.0,1.652041939182507
57.0,139,6767.273381294964,17.898058050030265,11.0,1.518093470080516
58.0,146,6706.559931506849,17.42526665294695,11.0,1.4421253292445368
59.0,138,6649.451086956522,16.23290394053874,11.0,1.3818365492563027
60.0,144,6594.958333333333,16.289207676044015,12.0,1.357433973003668
61.0,129,6545.327519379845,14.078907041597706,12.0,1.2395786464848908
62.0,141,6498.531914893617,14.062261142855062,12.0,1.1842560235994453
63.0,144,6454.121527777777,13.185868220428397,13.0,1.0988223517023663
64.0,133,6412.913533834587,11.266656235123682,13.0,0.9769429944676832
65.0,146,6372.847602739726,11.863933074938382,13.0,0.9818660874803403
66.0,132,6335.636363636364,10.336668758699094,14.0,0.8996915339524156
67.0,137,6300.255474452555,9.875021740169815,14.0,0.8436800443833576
68.0,147,6267.641156462585,9.557104329972603,14.0,0.7882566796547172
69.0,132,6237.511363636364,7.688090797527962,14.0,0.6691624124041196
70.0,149,6209.270134228188,8.47928301935962,15.0,0.694649931257447
71.0,128,6183.783203125,6.779816843459446,15.0,0.5992568081516184
72.0,150,6160.535,7.20900990604844,15.0,0.5886131940162659
73.0,132,6138.660984848485,5.66023801995247,16.0,0.4926604833323232
74.0,138,6118.489130434783,5.64085313191678,16.0,0.48018130675951
75.0,144,6100.001736111111,5.140210374985511,17.0,0.4283508645821259
76.0,134,6083.08395522388,4.596903995500246,17.0,0.3971120217141461
77.0,147,6067.338435374149,4.744752212979653,18.0,0.39134056677169643
78.0,136,6053.279411764706,3.571370058655453,18.0,0.30624245603986444
79.0,137,6042.492700729927,2.927578929375017,19.0,0.2501199476881782
80.0,143,6033.340909090909,2.6113487177089514,19.0,0.21837195005263726
81.0,131,6025.5687022900765,2.0269941356776697,20.0,0.17709929991697143
82.0,157,6019.601910828025,1.668417849401693,20.0,0.13315424034191675
83.0,151,6015.548013245033,1.3716520549408457,21.0,0.11162346117606045
84.0,158,6014.400316455696,0.9138617025128192,21.0,0.07270293341633073
85.0,128,6015.322265625,1.0069406497875164,20.0,0.08900182021464266
86.0,144,6017.602430555556,1.4578618535216645,19.0,0.12148848779347204
87.0,135,6022.461111111111,1.9677594147729254,19.0,0.16935776539463096
88.0,143,6029.907342657342,2.598868646336686,18.0,0.21732831405569972
89.0,143,6038.125874125874,2.737949610301678,18.0,0.2289588485416806
90.0,132,6048.698863636364,3.597966271970742,17.0,0.3131627674161638
91.0,149,6062.595637583892,4.816883079077065,17.0,0.39461443757879733
92.0,130,6077.380769230769,4.198931132980232,17.0,0.36827062226982626
93.0,147,6093.78231292517,5.558782396984367,16.0,0.45848064475221106
94.0,142,6113.052816901409,5.8304829144660975,16.0,0.48928325716872983
95.0,139,6133.906474820144,6.202301567114633,15.0,0.5260723527763367
96.0,141,6155.537234042553,7.027429433134991,15.0,0.5918163197274031
97.0,139,6179.593525179856,7.401544185076104,14.0,0.6277907840318714
98.0,148,6206.251689189189,8.478489018616113,14.0,0.6969275042700408
99.0,128,6223.3984375,3.140483296348493,13.0,0.27758212938138765
100.0,137,6190.7773722627735,16.99039193321424,12.0,1.4515871455750669
101.0,137,6135.43795620438,17.347438492837348,12.0,1.4820916918126095
102.0,121,6084.152892561983,14.464913436658685,12.0,1.314992130605335
103.0,151,6031.640728476821,16.663922511395263,13.0,1.3560907817630379
104.0,134,5981.425373134329,13.423692367490377,13.0,1.1596303990992431
105.0,148,5934.5574324324325,13.78183064573736,13.0,1.1328595006865803
106.0,135,5891.031481481482,12.548689859575775,13.0,1.0800192631746415
107.0,137,5849.560218978102,11.969689260006126,14.0,1.0226395679776303
108.0,148,5808.554054054054,12.337809695350769,14.0,1.0141617097409426
109.0,131,5769.965648854962,9.826708275780097,14.0,0.8585634884173664
110.0,146,5734.765410958904,10.618917025547466,14.0,0.8788278260923025
111.0,137,5701.541970802919,9.370075635282326,15.0,0.8005395872388699
112.0,139,5670.875899280575,8.600923342153994,15.0,0.7295207963841075
113.0,142,5642.397887323944,8.294937517109231,15.0,0.696095693259389
114.0,134,5615.414179104478,7.223285268694798,15.0,0.6239968072592407
115.0,144,5590.413194444444,7.242932378839719,16.0,0.6035776982366433
116.0,137,5566.96897810219,6.459037021272034,16.0,0.551832774059982
117.0,143,5545.208041958042,6.0340864226471504,16.0,0.5045956558630948
118.0,140,5526.125,5.41958047435281,17.0,0.45803814967428697
119.0,142,5508.987676056338,4.607880186073623,18.0,0.38668471534176635
120.0,145,5495.017241379311,3.7290683381371887,19.0,0.3096822695479915
121.0,140,5482.503571428571,3.605424783927545,19.0,0.3047140096240007
122.0,141,5470.776595744681,3.142124811058109,20.0,0.26461464458633593
123.0,133,5461.545112781955,2.4937107607732076,21.0,0.2162321461776026
124.0,144,5453.291666666667,2.3407308642858915,22.0,0.19506090535715762
125.0,139,5447.302158273381,1.7439010752549489,22.0,0.14791575864882456
126.0,136,5441.3125,1.8327650634431814,23.0,0.157158307639563
127.0,139,5436.404676258992,1.2709817625792057,24.0,0.10780326608448194
128.0,143,5432.732517482517,1.1735983360032212,23.0,0.09814122314403108
129.0,143,5428.080419580419,2.1237260884513462,18.0,0.17759489729110503
130.0,135,5425.0981481481485,1.59292286739505,13.0,0.13709697193808876
131.0,145,3859.455172413793,2473.0627295864506,6.0,205.37668108690676
132.0,136,325.80514705882354,281.9964550131405,6.0,24.18099652497837
133.0,142,552.3080985915493,81.47723361202335,8.0,6.837417557279442
134.0,142,560.4929577464789,2.8493410433257322,8.0,0.23911138869885934
135.0,140,560.1142857142858,47.769374119854994,8.0,4.037248978311373
136.0,135,563.6814814814815,48.95192041906227,8.0,4.213110501064421
137.0,133,568.7406015037594,2.7133239593125436,8.0,0.23527502556685642
138.0,137,569.6788321167883,2.7087394142395707,8.0,0.23142322613147906
139.0,135,567.3074074074074,49.24653314508945,7.0,4.238466727319622
140.0,143,574.2884615384615,2.7470066442933923,7.0,0.22971623577267397
141.0,144,567.8142361111111,67.68824919535646,6.0,5.640687432946372
142.0,137,577.5894160583941,2.959552272980658,6.0,0.25285161478340706
143.0,143,565.8269230769231,83.18211519100107,6.0,6.95603792039641
144.0,132,578.8087121212121,3.363740739685715,6.0,0.2927760516035872
145.0,144,580.34375,3.399258840443865,6.0,0.2832715700369887
146.0,141,581.6790780141844,3.0732611577720363,6.0,0.25881527879568345
147.0,137,583.92700729927,3.150215997487882,6.0,0.2691411160915616
148.0,141,580.7641843971631,49.32569213410604,7.0,4.153972638867309
149.0,135,583.5944444444444,2.392047354728505,8.0,0.2058746570711779
150.0,145,583.0931034482759,2.0492937527493456,8.0,0.17018458305834094
151.0,134,583.8544776119403,1.756913975566298,10.0,0.1517742509954346
152.0,143,581.6486013986014,1.7288046841019131,9.0,0.14456991039430575
153.0,142,438.80457746478874,251.8610536610189,5.0,21.135710111328915
154.0,132,3002.251893939394,3013.694848485238,3.5,262.3084674950361
155.0,145,6043.865517241379,16.953598353341864,12.0,1.4079197105008507
156.0,129,6098.416666666667,14.368318193453772,12.0,1.2650598775801325
157.0,143,6152.907342657342,16.81641966512469,12.0,1.406259658188664
158.0,140,6211.260714285714,17.786854318189306,12.0,1.503263560525398
159.0,140,6272.5482142857145,18.797694649249046,12.0,1.58869516119003
160.0,144,6336.807291666667,18.762984286272836,12.0,1.5635820238560696
161.0,130,6369.442307692308,3.1975551557960418,15.0,0.2804441391567456
162.0,145,6353.013793103448,7.0909750024008895,15.0,0.5888734217052568
163.0,141,6330.390070921986,6.392264353604411,16.0,0.5383257705352985
164.0,138,6309.371376811594,5.868948623439095,16.0,0.4995980844390097
165.0,144,6290.883680555556,5.15840962461131,17.0,0.42986746871760917
166.0,129,6275.172480620155,4.247333544231008,17.0,0.3739568668485415
167.0,144,6261.305555555556,4.231856009318459,17.0,0.35265466744320495
168.0,140,6249.453571428571,3.175698205998315,19.0,0.2683954850533193
169.0,144,6239.845486111111,2.7139236504046025,20.0,0.22616030420038355
170.0,137,6232.275547445255,2.1274390568820083,21.0,0.18175938495728675
171.0,132,6225.910984848485,1.8243823005046764,22.0,0.1587920972194588
172.0,148,6220.908783783784,1.5990932402545102,22.0,0.13144465465234195
173.0,137,6216.3777372262775,1.3015533664572778,23.0,0.11119920855598049
174.0,143,6214.984265734266,0.7394902026889688,24.0,0.06183927734771742
175.0,141,6216.929078014185,0.9656262961778136,22.0,0.08132040403584931
176.0,145,6219.618965517241,1.3040677407307184,21.0,0.10829693129076506
177.0,135,6224.294444444445,1.798337402418544,21.0,0.15477624023175393
