bin,n_a,mean_mm_a,std_mm_a,median_q_a,sqrt_n_bound_a,n_b,mean_mm_b,std_mm_b,median_q_b,sqrt_n_bound_b,delta_mean_mm,delta_median_q
82.0,158,6019.533227848101,1.8014733068082478,20.0,0.14331752114794413,157,6019.601910828025,1.668417849401693,20.0,0.13315424034191675,-0.06868297992423322,0.0
83.0,148,6015.425675675676,1.3006603043962244,21.0,0.10691361843550852,151,6015.548013245033,1.3716520549408457,21.0,0.11162346117606045,-0.12233756935711426,0.0
84.0,153,6014.388888888889,1.044207427691907,21.0,0.08441916704761272,158,6014.400316455696,0.9138617025128192,21.0,0.07270293341633073,-0.011427566807469702,0.0
85.0,143,6015.477272727273,0.9986386380075943,20.0,0.08351035819182141,128,6015.322265625,1.0069406497875164,20.0,0.08900182021464266,0.15500710227297532,0.0
86.0,131,6017.618320610687,1.330965613999513,19.0,0.11628700562277236,144,6017.602430555556,1.4578618535216645,19.0,0.12148848779347204,0.015890055131421832,0.0
87.0,136,6022.60294117647,2.0144088803553424,19.0,0.1727341364397233,135,6022.461111111111,1.9677594147729254,19.0,0.16935776539463096,0.1418300653594997,0.0
88.0,145,6029.775862068966,2.5101744589123394,18.0,0.2084586424569773,143,6029.907342657342,2.598868646336686,18.0,0.21732831405569972,-0.1314805883766894,0.0
89.0,140,6037.930357142857,2.8893048654208715,18.0,0.24419083002182534,143,6038.125874125874,2.737949610301678,18.0,0.2289588485416806,-0.1955169830171144,0.0
90.0,144,6048.878472222223,3.969836677242136,17.0,0.3308197231035113,132,6048.698863636364,3.597966271970742,17.0,0.3131627674161638,0.17960858585865935,0.0
91.0,136,6063.047794117647,4.352044507393712,17.0,0.37318473774762423,149,6062.595637583892,4.816883079077065,17.0,0.39461443757879733,0.4521565337545326,0.0
92.0,140,6077.255357142857,4.568667518337745,16.0,0.38612287915631177,130,6077.380769230769,4.198931132980232,17.0,0.36827062226982626,-0.12541208791208192,-1.0
93.0,138,6093.695652173913,5.408220555003609,16.0,0.46037830672305263,147,6093.78231292517,5.558782396984367,16.0,0.45848064475221106,-0.08666075125711359,0.0
94.0,145,6112.520689655173,6.053616303863797,15.0,0.5027254708047928,142,6113.052816901409,5.8304829144660975,16.0,0.48928325716872983,-0.5321272462360866,-1.0
95.0,140,6133.557142857143,6.153049695474867,15.0,0.5200276129686587,139,6133.906474820144,6.202301567114633,15.0,0.5260723527763367,-0.34933196300062264,0.0
96.0,144,6156.057291666667,6.895747064580503,15.0,0.5746455887150419,141,6155.537234042553,7.027429433134991,15.0,0.5918163197274031,0.520057624114088,0.0
97.0,143,6180.381118881119,7.477362088979776,14.0,0.6252884302839267,139,6179.593525179856,7.401544185076104,14.0,0.6277907840318714,0.7875937012622671,0.0
98.0,137,6206.239051094891,7.885314709226697,14.0,0.6736879005334443,148,6206.251689189189,8.478489018616113,14.0,0.6969275042700408,-0.012638094298381475,0.0
99.0,143,6222.300699300699,3.192690739082729,13.0,0.26698621209815654,128,6223.3984375,3.140483296348493,13.0,0.27758212938138765,-1.097738199300693,0.0
100.0,130,6188.942307692308,15.39793661493695,12.0,1.3504883788911786,137,6190.7773722627735,16.99039193321424,12.0,1.4515871455750669,-1.8350645704658746,0.0
101.0,134,6134.600746268657,16.09479435885816,12.0,1.3903784662842555,137,6135.43795620438,17.347438492837348,12.0,1.4820916918126095,-0.8372099357229672,0.0
102.0,127,6083.330708661418,15.167970963336083,12.0,1.3459397768950876,121,6084.152892561983,14.464913436658685,12.0,1.314992130605335,-0.8221839005655056,0.0
103.0,135,6033.096296296297,14.565439863561075,13.0,1.2535934671501705,151,6031.640728476821,16.663922511395263,13.0,1.3560907817630379,1.4555678194756183,0.0
104.0,147,5983.331632653061,14.930723681220293,13.0,1.2314653337926367,134,5981.425373134329,13.423692367490377,13.0,1.1596303990992431,1.9062595187324405,0.0
105.0,145,5935.796551724138,14.019083787788663,13.0,1.164221540266696,148,5934.5574324324325,13.78183064573736,13.0,1.1328595006865803,1.2391192917057197,0.0
106.0,137,5891.087591240876,12.292378349153772,13.0,1.050208757415124,135,5891.031481481482,12.548689859575775,13.0,1.0800192631746415,0.05610975939362106,0.0
107.0,148,5848.503378378378,12.830626972557472,13.0,1.0546710403906254,137,5849.560218978102,11.969689260006126,14.0,1.0226395679776303,-1.0568405997237278,-1.0
108.0,131,5807.446564885497,10.89517393309029,14.0,0.9519157663368581,148,5808.554054054054,12.337809695350769,14.0,1.0141617097409426,-1.1074891685575494,0.0
109.0,142,5770.2852112676055,10.970931593350262,14.0,0.9206601276287733,131,5769.965648854962,9.826708275780097,14.0,0.8585634884173664,0.3195624126437906,0.0
110.0,140,5735.167857142857,10.110915590596399,14.0,0.8545283330593438,146,5734.765410958904,10.618917025547466,14.0,0.8788278260923025,0.40244618395354337,0.0
111.0,140,5701.626785714286,9.305636511760143,15.0,0.7864698290871116,137,5701.541970802919,9.370075635282326,15.0,0.8005395872388699,0.08481491136626573,0.0
112.0,145,5670.401724137931,9.245085807608175,15.0,0.767762587181822,139,5670.875899280575,8.600923342153994,15.0,0.7295207963841075,-0.4741751426445262,0.0
113.0,132,5641.623106060606,7.762240777107789,15.0,0.6756163397213292,142,5642.397887323944,8.294937517109231,15.0,0.696095693259389,-0.7747812633378999,0.0
114.0,145,5615.270689655173,7.824990207233133,15.0,0.6498300666104917,134,5615.414179104478,7.223285268694798,15.0,0.6239968072592407,-0.14348944930497964,0.0
