bin,n,mean_mm,std_mm,median_q,sqrt_n_bound
78.0,143,6053.300699300699,3.7055534361413067,18.0,0.3098739453627488
79.0,136,6042.457720588235,3.057558204385157,19.0,0.2621834530214621
80.0,135,6033.533333333334,2.4952940783229542,19.0,0.2147607202052175
81.0,143,6025.81993006993,2.3148718507114223,20.0,0.1935793089347754
82.0,158,6019.533227848101,1.8014733068082478,20.0,0.14331752114794413
83.0,148,6015.425675675676,1.3006603043962244,21.0,0.10691361843550852
84.0,153,6014.388888888889,1.044207427691907,21.0,0.08441916704761272
85.0,143,6015.477272727273,0.9986386380075943,20.0,0.08351035819182141
86.0,131,6017.618320610687,1.330965613999513,19.0,0.11628700562277236
87.0,136,6022.60294117647,2.0144088803553424,19.0,0.1727341364397233
88.0,145,6029.775862068966,2.5101744589123394,18.0,0.2084586424569773
89.0,140,6037.930357142857,2.8893048654208715,18.0,0.24419083002182534
90.0,144,6048.878472222223,3.969836677242136,17.0,0.3308197231035113
91.0,136,6063.047794117647,4.352044507393712,17.0,0.37318473774762423
92.0,140,6077.255357142857,4.568667518337745,16.0,0.38612287915631177
93.0,138,6093.695652173913,5.408220555003609,16.0,0.46037830672305263
94.0,145,6112.520689655173,6.053616303863797,15.0,0.5027254708047928
95.0,140,6133.557142857143,6.153049695474867,15.0,0.5200276129686587
96.0,144,6156.057291666667,6.895747064580503,15.0,0.5746455887150419
97.0,143,6180.381118881119,7.477362088979776,14.0,0.6252884302839267
98.0,137,6206.239051094891,7.885314709226697,14.0,0.6736879005334443
99.0,143,6222.300699300699,3.192690739082729,13.0,0.26698621209815654
100.0,130,6188.942307692308,15.39793661493695,12.0,1.3504883788911786
101.0,134,6134.600746268657,16.09479435885816,12.0,1.3903784662842555
102.0,127,6083.330708661418,15.167970963336083,12.0,1.3459397768950876
103.0,135,6033.096296296297,14.565439863561075,13.0,1.2535934671501705
104.0,147,5983.331632653061,14.930723681220293,13.0,1.2314653337926367
105.0,145,5935.796551724138,14.019083787788663,13.0,1.164221540266696
106.0,137,5891.087591240876,12.292378349153772,13.0,1.050208757415124
107.0,148,5848.503378378378,12.830626972557472,13.0,1.0546710403906254
108.0,131,5807.446564885497,10.89517393309029,14.0,0.9519157663368581
109.0,142,5770.2852112676055,10.970931593350262,14.0,0.9206601276287733
110.0,140,5735.167857142857,10.110915590596399,14.0,0.8545283330593438
111.0,140,5701.626785714286,9.305636511760143,15.0,0.7864698290871116
112.0,145,5670.401724137931,9.245085807608175,15.0,0.767762587181822
113.0,132,5641.623106060606,7.762240777107789,15.0,0.6756163397213292
114.0,145,5615.270689655173,7.824990207233133,15.0,0.6498300666104917
115.0,134,5590.251865671642,6.7611990269899405,16.0,0.5840786358488024
116.0,144,5566.965277777777,6.850144906276493,16.0,0.5708454088563745
117.0,139,5545.163669064748,5.929897858675663,16.0,0.5029673717861662
118.0,141,5526.420212765957,5.262088052160752,17.0,0.4431477561948354
119.0,145,5509.396551724138,4.789273515325521,18.0,0.3977275172310159
120.0,140,5495.253571428571,3.7633438505281194,19.0,0.31806060672802383
121.0,147,5482.35544217687,3.908184813441811,19.0,0.3223416505833481
122.0,135,5470.7555555555555,3.1201778715722073,20.0,0.26854215408453475
123.0,142,5461.417253521126,2.740185877726458,21.0,0.22995129068558942
124.0,137,5453.253649635037,2.375771043853513,22.0,0.20297581842979914
125.0,138,5447.119565217391,1.7972549504811335,22.0,0.15299250140355564
126.0,144,5441.375,2.0004370151915096,23.0,0.16670308459929248
127.0,135,5436.5,1.2155706233281827,24.0,0.10461966178420046
128.0,146,5432.996575342466,1.1420589020111178,23.0,0.09451746724351558
129.0,142,5427.970070422535,2.171805633871834,18.0,0.18225388017889677
130.0,134,5425.0279850746265,1.6692318614543755,13.0,0.14419967000848344
131.0,140,4074.6625,2360.9569122073076,6.0,199.53727795827066
132.0,138,296.54891304347825,284.9731704920127,6.0,24.25852724723521
133.0,145,560.3155172413793,46.9728702422271,8.0,3.9008845493732123
134.0,141,557.3510638297872,47.36568395703077,8.0,3.988910173704306
135.0,141,564.354609929078,3.2321150787792297,8.0,0.27219319227019917
136.0,134,563.9328358208955,49.17066110702769,8.0,4.247698159532263
137.0,131,564.5114503816794,49.77383331897218,8.0,4.348760008635632
138.0,140,569.4142857142857,2.6291755807337984,8.0,0.2222058928485488
139.0,139,571.8111510791367,2.7836937402179527,7.0,0.23610982140723005
140.0,138,565.411231884058,68.86327298077455,7.0,5.862031085430682
141.0,144,571.3246527777778,48.01766210473462,6.0,4.0014718420612185
142.0,140,577.5660714285714,2.8596691201737965,6.0,0.24168615240306376
143.0,138,578.2228260869565,3.463533276562339,6.0,0.2948355321173938
144.0,141,570.3776595744681,68.73630134317985,6.0,5.788640822316606
145.0,143,567.6888111888112,83.45667688197517,6.0,6.978997922429522
146.0,136,577.2665441176471,49.970558018788935,6.0,4.284939999501976
147.0,140,579.7267857142857,49.44702215892689,6.0,4.1790361161272305
148.0,141,580.9148936170212,49.3507836617041,7.0,4.156085726684228
149.0,135,583.3703703703703,2.3056654452422634,8.0,0.19844008602998212
150.0,145,583.0431034482758,2.2369111631274228,8.0,0.1857653609321044
151.0,137,583.4087591240876,1.9181016370572088,10.0,0.16387448218988815
