bin,n_a,mean_mm_a,std_mm_a,median_q_a,sqrt_n_bound_a,n_b,mean_mm_b,std_mm_b,median_q_b,sqrt_n_bound_b,delta_mean_mm,delta_median_q
101.0,670,6135.284328358209,16.20269752992639,12.0,0.625964816194852,664,6136.604668674699,16.178869173498924,12.0,0.6278618907172586,-1.320340316489819,0.0
102.0,661,6083.274205748865,15.319605813625765,12.0,0.5958636065806643,670,6084.491791044776,15.56271150261174,12.0,0.6012399989096213,-1.2175852959107942,0.0
103.0,709,6031.569111424542,15.076188972244674,13.0,0.5661981615546441,712,6032.200140449439,15.315131141882047,13.0,0.5739588055983983,-0.6310290248966339,0.0
104.0,712,5981.794241573034,14.076898831700495,13.0,0.527554087857417,718,5982.302228412256,14.298827693534815,13.0,0.5336275100776726,-0.5079868392222124,0.0
105.0,741,5934.4797570850205,13.74735583206259,13.0,0.5050217354435069,729,5934.975994513032,13.620510647830427,13.0,0.5044633573270528,-0.49623742801122717,0.0
106.0,704,5889.935369318182,12.49833896810135,13.0,0.47104887340761215,687,5891.188864628821,12.203334230755848,13.0,0.46558624100483187,-1.2534953106387547,0.0
107.0,706,5847.899433427762,12.03412610736237,13.0,0.4529103106903222,715,5849.56013986014,12.23312671953308,13.0,0.4574930001927794,-1.6607064323779923,0.0
108.0,690,5807.892028985507,11.47135994227099,14.0,0.43670720952146896,706,5808.946883852691,11.634269088610866,13.0,0.43786149327069634,-1.0548548671840763,1.0
109.0,716,5769.698673184357,10.873690017686469,14.0,0.40636887534626426,712,5770.248244382023,10.704733978178455,14.0,0.4011768669457742,-0.5495711976655002,0.0
110.0,697,5734.394906743185,9.910944288708246,14.0,0.37540378393873663,693,5735.155483405483,9.90189844025812,14.0,0.37614201809886844,-0.7605766622982628,0.0
111.0,717,5700.897838214783,9.431155218524967,15.0,0.3522129458342845,715,5701.930769230769,9.549229153112837,15.0,0.3571209221441542,-1.0329310159859233,0.0
112.0,709,5669.972849083216,8.641256467677982,15.0,0.32452919862764157,703,5671.165007112376,8.68772992480706,15.0,0.32766393993538595,-1.1921580291600549,0.0
113.0,696,5641.538433908046,7.990588834242831,15.0,0.30288248811414603,706,5642.553116147309,8.057913879625131,15.0,0.3032635894104632,-1.014682239263493,0.0
114.0,705,5614.862056737588,7.533674168295881,15.0,0.283734583982261,704,5615.69921875,7.490012037881766,15.0,0.2822904500556708,-0.8371620124116816,0.0
115.0,706,5589.829674220963,6.998171577321699,16.0,0.26337966172797994,710,5590.55176056338,7.043328556153355,16.0,0.2643314105008324,-0.7220863424172421,0.0
116.0,715,5566.448251748252,6.5875205966739925,16.0,0.2463593021391626,709,5567.319111424542,6.614830809529262,16.0,0.24842518558540277,-0.8708596762899106,0.0
117.0,705,5544.760992907802,5.9891417260745134,16.0,0.22556412689174488,705,5545.696808510638,5.914609622572476,16.0,0.22275708547900788,-0.9358156028365556,0.0
118.0,724,5525.771408839779,5.426411788686149,17.0,0.2016710058828515,722,5526.791897506925,5.403105017357418,17.0,0.2010827472229731,-1.02048866714631,0.0
119.0,721,5508.277739251041,4.846293001267786,18.0,0.18048538291342367,722,5509.342451523546,4.788127706726942,18.0,0.17819566161125333,-1.0647122725049485,0.0
120.0,709,5494.162200282088,3.755099539699532,18.0,0.14102572339380862,708,5495.320268361582,3.7144242043346565,18.0,0.13959660997528564,-1.1580680794941145,0.0
121.0,710,5481.930985915493,3.7146297721237493,19.0,0.13940757119672234,712,5482.849367977528,3.7425325961034908,19.0,0.14025733889397576,-0.9183820620355618,0.0
122.0,701,5470.37089871612,3.1949885610814577,20.0,0.12067305250043897,711,5471.18811533052,3.179440351706626,20.0,0.11923832904737024,-0.8172166144004223,0.0
123.0,719,5460.9315020862305,2.687291866073283,21.0,0.10021907556122829,702,5461.834045584045,2.6504424066263796,21.0,0.10003450224486607,-0.9025434978148041,0.0
